ID,Tweet Content
4725,"""🇲🇦Morocco's fairytale run comes to an end.

REMEMBER THE NAME
Sofyan #Amrabat stats VS France from TheSports
91 Touches
10 Long passes
10 Possession won
......

Visit https://t.co/yKq1kHqLX8 to see more in-depth stats!

#FIFAWorldCup #Qatar2022 #FRAMAR #DimaMaghrib #AtlasLions https://t.co/hf7U8Wsd6n"""
1908,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
85,"""Who is best for you in world cup, Denmark
 or Serbia?

#nfts #nft #nftart  #nftcollector  #digitalart  #cryptoart #art #ethereum #opensea #nftcollectors #worldcup #football #soccer #fifa   #futbol #fifaworldcup  #qatar #messi #championsleague  #sports  #ronaldo @opensea https://t.co/4vvl0HKlCX"""
228,"""Not one of my CR7 fan friends are even watching the World Cup any more.

If Argentina wins #FIFAWorldCup I don't know what will happen to them."""
297,"""I'm feeling extremely happy to see PM's efforts for all of us..
#BharatJodoYatra
#India #Buddhism #Buddha  #TestCricket #Qatar2022    #ShahRukhKhan
#Ashwin #BANvsIND #Pathaan #FIFAWorldCup   

https://t.co/jLp2elunQE"""
1002,"""This movie is about to make some serious 💰"""
2139,"""Gentlemen please come closer and learn something good 😊 #Messi𓃵 #Ronaldo𓃵 #Mbappe #FIFAWorldCup https://t.co/3r2AUOVVYz"""
712,"""We're back with our NEW competition as we gear up for the #FIFAWorldCup finals🤩  &amp; 5 correct guesses will each win R100 Free Bet❗

Rules:
- Ensure you use #BetcozaSpotTheGoal 
- Select either A, B, C, D, E, or F
- Tag 3 others in your entry https://t.co/KXuQQwvknf"""
2802,"""3x tickets available #FIFAWorldCup #francemaroc #ArgentinaVsCroatia #France #FIFAWorldCupQatar2022 https://t.co/lviCdr0zVT"""
2528,"""This man is magic 
#FIFAWorldCup https://t.co/8C23nFI3Fl"""
3753,"""KING KHAN to promote PATHAAN at #FIFAWorldCup2022 #FIFAWorldCup #FIFAWorldCupQatar2022 #WorldCup final #Qatar2022 ! 🔥
Watch him on 18th Dec at the FIFA World Cup FINALS at Match Centre ♥️🔥
#ARGCRO #Messi #Mbappe #football #ShahRukhKhan #BesharamRang #Pathaan #Arg #FRA #France https://t.co/ZzLPFRtjWk"""
3322,"""Rioting breaks out in Lyon, France as Morocco was defeated by France in the #FIFAWorldCup. https://t.co/PktIBCTAeI"""
